name,NL,LR,DR,LS,auPR,auROC
3_0.00016298505613644663_0.3254185003397073_1000,3,0.00016298505613644663,0.3254185003397073,1000,0.29914262422465615,0.7335830081067307
4_0.00024127546611118732_0.1477493201861702_1000,4,0.00024127546611118732,0.1477493201861702,1000,0.2868541240293841,0.7370100306360644
2_0.0006961750403834422_0.3813669623919579_200,2,0.0006961750403834422,0.3813669623919579,200,0.2799512859263898,0.7293650056175505
4_0.0004397299825071773_0.35543274010899906_800,4,0.0004397299825071773,0.35543274010899906,800,0.2792247434181247,0.7242818440489164
2_0.0006729163068408161_0.39667630722646385_200,2,0.0006729163068408161,0.39667630722646385,200,0.27657462764925117,0.7274855372715318
2_0.00010317567681770247_0.19535478942063683_600,2,0.00010317567681770247,0.19535478942063683,600,0.25825336859571113,0.7174089682291621
3_8.52739668146465e-05_0.13598456595554664_400,3,8.52739668146465e-05,0.13598456595554664,400,0.24920350257235993,0.732744071302061
4_0.00012105200153024894_0.3450562161243306_400,4,0.00012105200153024894,0.3450562161243306,400,0.24129805701436977,0.7164360162416195
4_0.0006288632466732576_0.2674342530096203_1000,4,0.0006288632466732576,0.2674342530096203,1000,0.2229287314306753,0.6559604990468467
1_0.0008797286773333985_0.29080578548327574_1000,1,0.0008797286773333985,0.29080578548327574,1000,0.18046809838903108,0.5961804880933274
