auPR,auROC
0.4606870451841162,0.9050200524234256
0.33447046583201445,0.8690811672227985
0.3735426870203861,0.8732278006789821
0.39591215829509263,0.8671280238349341
0.37348241510872265,0.9015188437189752
0.47197386463143676,0.9095691034815956
0.40393295307677024,0.8578113170512855
0.48062816892410226,0.895372494783714
0.4195666729358582,0.873161581920904
0.45541780672205323,0.8787132504179321
0.4360215327450321,0.8974259705168737
0.4032219016739414,0.8871874153651711
0.4237721962893336,0.8939617306630983
0.5078429070222785,0.9030157713271592
0.4584819331598253,0.8894729802033173
0.4063852543390625,0.8738498333449144
0.436081147332958,0.8860782939422067
0.44521354084241954,0.895153161464473
0.4840118593133442,0.8812845103167684
0.47507379799196225,0.8933935026809326
