number,numbits,radius,classweight,mean auroc,mean aupr
0,512,2,balanced,0.7957039529735407,0.4424074848585915
1,512,3,balanced,0.8130514910993435,0.426820985161128
2,512,4,balanced,0.8111686813257379,0.4096328563740596
3,512,5,balanced,0.804766426548832,0.3907577025412069
4,512,6,balanced,0.802579388888894,0.3793780418920731
5,1024,2,balanced,0.802183742565278,0.453645471602869
6,1024,3,balanced,0.8217835975643082,0.4461575708746232
7,1024,4,balanced,0.824450035877404,0.4292049080707711
8,1024,5,balanced,0.8212434741194222,0.401489264354367
9,1024,6,balanced,0.8318654562553797,0.3875541624422738
10,2048,2,balanced,0.8260458372038899,0.4648472077967451
11,2048,3,balanced,0.8429137569444237,0.4576807526121001
12,2048,4,balanced,0.8495724092422643,0.4457234574464762
13,2048,5,balanced,0.8440803330331347,0.4296923419535785
14,2048,6,balanced,0.8459537797419957,0.4145238452609684
15,4096,2,balanced,0.8299485646284127,0.4806139209119918
16,4096,3,balanced,0.8425744913862706,0.4770201189161393
17,4096,4,balanced,0.8499753156105113,0.4644595461342332
18,4096,5,balanced,0.8588042034529804,0.4527070975247613
19,4096,6,balanced,0.8596404990137635,0.4369090371133319
